"season_number","Contestant","Age","Occupation","Hometown","contestant_urls","Blind Taste Test Score","Challenges Won","Services Won","Times as BoW/Announcer","Times Nominated","Placement","Episode Eliminated/Withdrew","Signature Dish Challenge Score"
"Season 3","Melissa Firpo",29,"Line Cook","New York City, NY","https://hellskitchen.fandom.com/wiki/Melissa_Firpo","1 out of 3","3","1","1","2","7th","7 Chefs Compete, Part 2",NA
"Season 3","Rock Harper",30,"Executive Chef","Spotsylvania, VA","https://hellskitchen.fandom.com/wiki/Rock_Harper","2 out of 3","2","3","2","1","Winner",NA,NA
"Season 3","Eddie Langley",28,"Grill Cook","Atlanta, GA","https://hellskitchen.fandom.com/wiki/Eddie_Langley",NA,"0","1","0","1","11th","11 Chefs Compete",NA
"Season 3","Brad Miller",25,"Sous Chef","Scottsdale, AZ","https://hellskitchen.fandom.com/wiki/Brad_Miller","1 out of 3","2","3","1","2","6th","6 Chefs Compete",NA
"Season 3","Bonnie Muirhead",26,"Nanny & Personal Chef","Santa Monica, CA","https://hellskitchen.fandom.com/wiki/Bonnie_Muirhead","2 out of 3","5","2","1","3","Runner-up",NA,NA
"Season 3","Tiffany Nagel",27,"Kitchen Manager","Scottsdale, AZ","https://hellskitchen.fandom.com/wiki/Tiffany_Nagel",NA,"0","0","0","1","12th","12 Chefs Compete",NA
"Season 3","Aaron Song",48,"Retirement Home Chef","Rancho Palos Verdes, CA","https://hellskitchen.fandom.com/wiki/Aaron_Song",NA,"0","1","0","0","10th","10 Chefs Compete",NA
"Season 3","Josh Wahler",26,"Jr. Sous Chef","Miami Beach, FL","https://hellskitchen.fandom.com/wiki/Josh_Wahler","0 out of 3","2","3","0","3","5th","5 Chefs Compete",NA
"Season 3","Julia Williams",28,"Short Order Cook","Atlanta, GA","https://hellskitchen.fandom.com/wiki/Julia_Williams","2 out of 3","5","2","1","2","4th","5 Chefs Compete",NA
"Season 3","Jen Yemola",26,"Pastry Chef","Hazelton, PA","https://hellskitchen.fandom.com/wiki/Jen_Yemola","N/A","5","2","2","1","3rd","3 Chefs Compete",NA
"Season 4","Bobby Anderson",37,"Executive Chef","Niagara Falls, NY","https://hellskitchen.fandom.com/wiki/Bobby_Anderson",NA,"2","4","2","2","5th","5 Chefs Compete",NA
"Season 4","Ben Caylor",29,"Electrician & Former Chef","Charlotte, NC","https://hellskitchen.fandom.com/wiki/Ben_Caylor",NA,"2","3","3","2","9th","9 Chefs Compete",NA
"Season 4","Dominic DiFrancesco",43,"Stay-at-Home Dad","Catawba, SC","https://hellskitchen.fandom.com/wiki/Dominic_DiFrancesco",NA,"0","0","0","1","15th","15 Chefs Compete",NA
"Season 4","Corey Earling",25,"Private Chef","Brooklyn, NY","https://hellskitchen.fandom.com/wiki/Corey_Earling","1 out of 3","6","6","3","3","3rd","3 Chefs Compete",NA
"Season 4","Louross Edralin",24,"Hotel Cook","Las Vegas, NV","https://hellskitchen.fandom.com/wiki/Louross_Edralin",NA,"2","3","2","3","7th","7 Chefs Compete",NA
"Season 4","Rosann Fama",33,"Law Office Receptionist & Former Cook","Staten Island, NY","https://hellskitchen.fandom.com/wiki/Rosann_Fama",NA,"5","4","0","2","8th","8 Chefs Compete",NA
"Season 4","Jen Gavin",24,"Garde Manger","Chicago, IL","https://hellskitchen.fandom.com/wiki/Jen_Gavin",NA,"5","6","0","4","4th","4 Chefs Compete",NA
"Season 4","Vanessa Gunnell",31,"Line Cook","Bozeman, MT","https://hellskitchen.fandom.com/wiki/Vanessa_Gunnell",NA,"3","2","0","1","11th","11 Chefs Compete",NA
"Season 4","Christina Machamer",25,"Culinary Student","St. Louis, MO","https://hellskitchen.fandom.com/wiki/Christina_Machamer","2 out of 3","9","6","5","5","Winner",NA,NA
"Season 4","Louis Petrozza",47,"Catering Director","Charlotte, NC","https://hellskitchen.fandom.com/wiki/Louis_Petrozza",NA,"3","4","2","1","Runner-up",NA,NA
"Season 4","Craig Schneider",30,"Sous Chef","Coram, NY","https://hellskitchen.fandom.com/wiki/Craig_Schneider",NA,"1","1","0","1","12th","12 Chefs Compete",NA
"Season 4","Matt Sigel",35,"Sous Chef","Pine Hill, NJ","https://hellskitchen.fandom.com/wiki/Matt_Sigel",NA,"5","5","0","4","6th","6 Chefs Compete",NA
"Season 4","Sharon Stewart",31,"Room Service Chef","Las Vegas, NV","https://hellskitchen.fandom.com/wiki/Sharon_Stewart",NA,"0","1","0","0","14th","14 Chefs Compete",NA
"Season 4","Jason Underwood",29,"Sous Chef","Youngstown, OH","https://hellskitchen.fandom.com/wiki/Jason_Underwood",NA,"1","1","0","1","13th","13 Chefs Compete",NA
"Season 4","Shayna Zadok",28,"Catering Company Owner","Buffalo, NY","https://hellskitchen.fandom.com/wiki/Shayna_Zadok",NA,"3","3","0","1","10th","10 Chefs Compete",NA
"Season 5","Coi Burruss",22,"Cafe Chef","Austin, TX","https://hellskitchen.fandom.com/wiki/Coi_Burruss",NA,"2","2","0","1","11th","11 Chefs Compete",NA
"Season 5","Ji-Hyun Cha",33,"Private Caterer","Palisades Park, NJ","https://hellskitchen.fandom.com/wiki/Ji-Hyun_Cha",NA,"0","1","0","0","15th","15 Chefs Compete",NA
"Season 5","Colleen Cleek",41,"Culinary Instructor","Papillion, NE","https://hellskitchen.fandom.com/wiki/Colleen_Cleek",NA,"2","2","0","2","12th","12 Chefs Compete",NA
"Season 5","Lacey D'Angelo",24,"Corporate Buffet Cook","Charlotte, NC","https://hellskitchen.fandom.com/wiki/Lacey_D%27Angelo",NA,"2","3","1","3","9th","9 Chefs Compete",NA
"Season 5","Paula DaSilva",28,"Executive Sous Chef","Coconut Creek, FL","https://hellskitchen.fandom.com/wiki/Paula_DaSilva","3 out of 10","5","4","2","1","Runner-up",NA,NA
"Season 5","Giovanni Filippone",37,"Executive Chef","Destin, FL","https://hellskitchen.fandom.com/wiki/Giovanni_Filippone","0 out of 4","5","4","1","1","6th","6 Chefs Compete",NA
"Season 5","Andrea Heinly",30,"Line Cook","Reading, PA","https://hellskitchen.fandom.com/wiki/Andrea_Heinly","2 out of 4","5","4","2","5","3rd","3 Chefs Compete",NA
"Season 5","Robert Hesse",29,"Sous Chef","Quogue, NY","https://hellskitchen.fandom.com/wiki/Robert_Hesse","0 out of 4","4","3","1","2","5th","5 Chefs Compete",NA
"Season 5","Wil Kocol",26,"Quality Control Chef","Elgin, IL","https://hellskitchen.fandom.com/wiki/Wil_Kocol",NA,"0","0","0","1","16th","16 Chefs Compete",NA
"Season 5","Seth Levine",27,"Private Party Chef","New York, NY","https://hellskitchen.fandom.com/wiki/Seth_Levine",NA,"2","1","1","3","13th","13 Chefs Compete",NA
"Season 5","LA Limtiaco",22,"Line Cook","Las Vegas, NV","https://hellskitchen.fandom.com/wiki/LA_Limtiaco",NA,"4","3","2","2","8th","9 Chefs Compete",NA
"Season 5","J Maxwell",32,"Food Court Chef","Clifton Park, NY","https://hellskitchen.fandom.com/wiki/J_Maxwell",NA,"3","2","1","1","10th","10 Chefs Compete",NA
"Season 5","Charlie McKay",24,"Prep Chef","Las Vegas, NV","https://hellskitchen.fandom.com/wiki/Charlie_McKay",NA,"2","1","0","1","14th","14 Chefs Compete",NA
"Season 5","Carol Scott",30,"Sous Chef","Knoxville, TN","https://hellskitchen.fandom.com/wiki/Carol_Scott","3 out of 4","4","4","0","1","7th","7 Chefs Compete",NA
"Season 5","Danny Veltri",23,"Executive Chef","Edgewater, FL","https://hellskitchen.fandom.com/wiki/Danny_Veltri","3 out of 10","6","3","3","0","Winner",NA,NA
"Season 5","Ben Walanka",26,"Executive Sous Chef","Chicago, IL","https://hellskitchen.fandom.com/wiki/Ben_Walanka","3 out of 4","5","3","1","5","4th","4 Chefs Compete",NA
"Season 6","Ariel Contreras-Fox",27,"Sous Chef","Los Angeles, CA","https://hellskitchen.fandom.com/wiki/Ariel_Contreras-Fox","2 out of 4","6","1","4","2","3rd","3 Chefs Compete","0 out of 1"
"Season 6","Louie Cordio",45,"Diner Owner","Fitchburg, MA","https://hellskitchen.fandom.com/wiki/Louie_Cordio",NA,"1","0","0","0","17th","16 Chefs Compete","0 out of 1"
"Season 6","Kevin Cottle",35,"Executive Chef","Middletown, CT","https://hellskitchen.fandom.com/wiki/Kevin_Cottle","1 out of 4","6","5","2","0","Runner-up",NA,"0 out of 1"
"Season 6","Tony D'Alessandro",30,"Culinary Store Manager","Chicago, IL","https://hellskitchen.fandom.com/wiki/Tony_D%27Alessandro",NA,"2","1","0","1","14th","14 Chefs Compete","1 out of 1"
"Season 6","Amanda Davenport",27,"Sous Chef","New York, NY","https://hellskitchen.fandom.com/wiki/Amanda_Davenport","1 out of 2","4","1","0","3","9th","9 Chefs Compete","0 out of 1"
"Season 6","Sabrina Gresset",34,"Restaurant Manager","New Caney, TX","https://hellskitchen.fandom.com/wiki/Sabrina_Gresset","1 out of 4","5","1","2","4","7th","7 Chefs Compete","0 out of 1"
"Season 6","Robert Hesse",30,"Executive Chef","Quogue, NY","https://hellskitchen.fandom.com/wiki/Robert_Hesse","0 out of 4","4","3","1","2","5th","5 Chefs Compete",NA
"Season 6","Van Hurd",26,"Fish Cook","Dallas, TX","https://hellskitchen.fandom.com/wiki/Van_Hurd","1 out of 4","5","5","1","3","6th","6 Chefs Compete","1 out of 1"
"Season 6","Andy Husbands",39,"Executive Chef","Boston, MA","https://hellskitchen.fandom.com/wiki/Andy_Husbands","1 out of 3","4","5","0","4","8th","8 Chefs Compete","0 out of 1"
"Season 6","Lovely Jackson",23,"Camp Chef","Chicago, IL","https://hellskitchen.fandom.com/wiki/Lovely_Jackson",NA,"2","0","0","3","13th","13 Chefs Compete","0 out of 1"
"Season 6","Dave Levey",32,"Executive Chef","San Diego, CA","https://hellskitchen.fandom.com/wiki/Dave_Levey","1 out of 4","8","5","3","0","Winner",NA,"0 out of 1"
"Season 6","Jim McGloin",34,"Sous Chef","Nashua, NH","https://hellskitchen.fandom.com/wiki/Jim_McGloin",NA,"3","4","0","0","11th","11 Chefs Compete","1 out of 1"
"Season 6","Melinda Meaney",38,"Private Chef","Philadelphia, PA","https://hellskitchen.fandom.com/wiki/Melinda_Meaney",NA,"0","0","0","1","16th","16 Chefs Compete","0 out of 1"
"Season 6","Tennille Middleton",28,"Executive Chef","Hampton Roads, VA","https://hellskitchen.fandom.com/wiki/Tennille_Middleton",NA,"6","1","3","3","4th","4 Chefs Compete","1 out of 1"
"Season 6","Tek Moore",27,"Line Cook","Greenwich, CT","https://hellskitchen.fandom.com/wiki/Tek_Moore",NA,"2","0","0","2","12th","12 Chefs Compete","1 out of 1"
"Season 6","Suzanne Schlicht",24,"Sous Chef","Milwaukee, WI","https://hellskitchen.fandom.com/wiki/Suzanne_Schlicht","2 out of 4","7","1","0","4","5th","5 Chefs Compete","0 out of 1"
"Season 6","Joseph Tinnelly",27,"Former US Marine & Sous Chef","Massapequa Park, NY","https://hellskitchen.fandom.com/wiki/Joseph_Tinnelly",NA,"2","1","1","0","15th","14 Chefs Compete","0 out of 1"
"Season 7","Siobhan Allgood",25,"Pub Executive Chef","Rockledge, PA","https://hellskitchen.fandom.com/wiki/Siobhan_Allgood",NA,"2","1","0","3","9th","9 Chefs Compete","1 out of 1"
"Season 7","Ed Battaglia",28,"High School Cooking Teacher","Burlington, NJ","https://hellskitchen.fandom.com/wiki/Ed_Battaglia","0 out of 4","7","7","0","3","6th","6 Chefs Compete","0 out of 1"
"Season 7","Jamie Bisoulis",26,"Sous Chef","Chicago, IL","https://hellskitchen.fandom.com/wiki/Jamie_Bisoulis",NA,"1","0","0","2","13th","13 Chefs Compete","0 out of 1"
"Season 7","Salvatore Coppola",35,"Pizzeria Chef","Monte Di Procida, Italy","https://hellskitchen.fandom.com/wiki/Salvatore_Coppola",NA,"5","6","1","0","10th","10 Chefs Compete","0 out of 1"
"Season 7","Jason Ellis",37,"Personal Chef","Greenville, SC","https://hellskitchen.fandom.com/wiki/Jason_Ellis","1 out of 4","7","7","1","2","5th","5 Chefs Compete","1 out of 1"
"Season 7","Andrew Forster",28,"Farmer","West Babylon, NY","https://hellskitchen.fandom.com/wiki/Andrew_Forster",NA,"2","1","0","0","15th","15 Chefs Compete","0 out of 1"
"Season 7","Scott Hawley",32,"Executive Chef","Modesto, CA","https://hellskitchen.fandom.com/wiki/Scott_Hawley",NA,"3","2","0","3","11th","11 Chefs Compete","0 out of 1"
"Season 7","Nilka Hendricks",28,"Line Cook","Glen Cove, NY","https://hellskitchen.fandom.com/wiki/Nilka_Hendricks","1 out of 4","3","1","2","1","7th","7 Chefs Compete","0 out of 1"
"Season 7","Fran Klier",44,"Catering Chef","Rockville Center, NY","https://hellskitchen.fandom.com/wiki/Fran_Klier","0 out of 4","2","1","2","6","8th","8 Chefs Compete","0 out of 1"
"Season 7","Benjamin Knack",33,"Culinary Instructor","Elmont, NY","https://hellskitchen.fandom.com/wiki/Benjamin_Knack","1 out of 4","8","6","3","2","3rd","4 Chefs Compete Part 2","1 out of 1"
"Season 7","Autumn Lewis",29,"Personal Chef","Chicago, IL","https://hellskitchen.fandom.com/wiki/Autumn_Lewis","1 out of 4","6","5","2","7","4th","4 Chefs Compete Part 2","1 out of 1"
"Season 7","Jay Santos",32,"Executive Chef","Melrose, MA","https://hellskitchen.fandom.com/wiki/Jay_Santos","2 out of 4","9","7","2",NA,"Runner-up",NA,"1 out of 1"
"Season 7","Stacey Slichta",38,"Private Chef","Buffalo, NY","https://hellskitchen.fandom.com/wiki/Stacey_Slichta",NA,"0","0","0","1","16th","16 Chefs Compete","0 out of 1"
"Season 7","Mikey Termini",29,"Line Cook","Santa Cruz, CA","https://hellskitchen.fandom.com/wiki/Mikey_Termini",NA,"2","1","0","0","14th","15 Chefs Compete","1 out of 1"
"Season 7","Maria Torrisi",24,"Kitchen Supervisor","Scranton, PA","https://hellskitchen.fandom.com/wiki/Maria_Torrisi",NA,"1","1","1","1","12th","12 Chefs Compete Part 2","1 out of 1"
"Season 7","Holli Ugalde",24,"Banquet Chef","San Bernardino, CA","https://hellskitchen.fandom.com/wiki/Holli_Ugalde","1 out of 4","5","2","3","0","Winner",NA,"0 out of 1"
"Season 8","Vinny Accardi",29,"Line Cook","Queens, NY","https://hellskitchen.fandom.com/wiki/Vinny_Accardi","2 out of 4","5","3","1","3","7th","7 Chefs Compete","1 out of 1"
"Season 8","Antonia Boregman",40,"Line Cook & Beautician","Chicago, IL","https://hellskitchen.fandom.com/wiki/Antonia_Boregman",NA,"0",NA,"0",NA,"16th","16 Chefs Compete","0 out of 1"
"Season 8","Raj Brandston",49,"Personal Chef","Queens, NY","https://hellskitchen.fandom.com/wiki/Raj_Brandston",NA,"2","1","0","2","13th","13 Chefs Compete","0 out of 1"
"Season 8","Sabrina Brimhall",22,"Prep Chef","San Diego, CA","https://hellskitchen.fandom.com/wiki/Sabrina_Brimhall","0 out of 4","5","4","3","7","6th","6 Chefs Compete","1 out of 1"
"Season 8","Lewis Curtis",26,"Executive Chef","Beebe, AR","https://hellskitchen.fandom.com/wiki/Lewis_Curtis",NA,"2","0","0","0","14th","14 Chefs Compete",NA
"Season 8","Melissa Doney",31,"Executive Sous Chef","Albany, NY","https://hellskitchen.fandom.com/wiki/Melissa_Doney",NA,"3","1","0","3","10th","10 Chefs Compete",NA
"Season 8","Jillian Flathers",28,"Sous Chef","Pagosa Springs, CO","https://hellskitchen.fandom.com/wiki/Jillian_Flathers","2 out of 4","6","4","3","0","3rd","4 Chefs Compete Again","1 out of 1"
"Season 8","Russell Kook",29,"Sous Chef","Madison, WI","https://hellskitchen.fandom.com/wiki/Russell_Kook","2 out of 4","7","3","2","2","Runner-up",NA,"1 out of 1"
"Season 8","Emily Kutchins",29,"Senior Home Executive Chef","Chicago, IL","https://hellskitchen.fandom.com/wiki/Emily_Kutchins",NA,"2","1","0","2","11th","11 Chefs Compete",NA
"Season 8","Lisa LaFranca",48,"Corporate Food Director","Brooklyn, NY","https://hellskitchen.fandom.com/wiki/Lisa_LaFranca",NA,"0","0","0","1","15th","16 Chefs Compete",NA
"Season 8","Rob McCue",36,"Law Firm Chef","Brooklyn, NY","https://hellskitchen.fandom.com/wiki/Rob_McCue","0 out of 4","4","3","1","3","8th","8 Chefs Compete","0 out of 1"
"Season 8","Trev McGrath",30,"Line Cook & Bartender","Chicago, IL","https://hellskitchen.fandom.com/wiki/Trev_McGrath","1 out of 4","6","4","5","5","4th","4 Chefs Compete Again","0 out of 1"
"Season 8","Gail Novenario",28,"Executive Chef","Wantagh, NY","https://hellskitchen.fandom.com/wiki/Gail_Novenario","1 out of 4","6","4","2","2","5th","5 Chefs Compete","0 out of 1"
"Season 8","Boris Poleschuk",38,"Catering Chef","Manalapan, NJ","https://hellskitchen.fandom.com/wiki/Boris_Poleschuk",NA,"4","3","1","5","9th","9 Chefs Compete Part 2","1 out of 1"
"Season 8","Louis Repucci",28,"Children's Camp Chef","Diamond Bar, CA","https://hellskitchen.fandom.com/wiki/Louis_Repucci",NA,"3","1","1","1","12th","12 Chefs Compete",NA
"Season 8","Nona Sivley",29,"Sous Chef","Atlanta, GA","https://hellskitchen.fandom.com/wiki/Nona_Sivley","3 out of 4","6","4","3","2","Winner",NA,"0 out of 1"
"Season 9","Elizabeth Bianchi",27,"Line Cook","New York, NY","https://hellskitchen.fandom.com/wiki/Elizabeth_Bianchi","0 out of 4","5","4","0","1","6th","6 Chefs Compete","1 out of 1"
"Season 9","Natalie Blake",23,"Sous Chef","Harrodsburg, KY","https://hellskitchen.fandom.com/wiki/Natalie_Blake","1 out of 4","4","4","2","3","7th",NA,"1 out of 1"
"Season 9","Chino Chang",39,"Executive Chef","Hatboro, PA","https://hellskitchen.fandom.com/wiki/Chino_Chang",NA,"3","1","0","3","14th","14 Chefs Compete","0 out of 1"
"Season 9","Amanda Colello",26,"Personal Chef","Sun City, CA","https://hellskitchen.fandom.com/wiki/Amanda_Colello",NA,"0","2","0","1","15th","15 Chefs Compete","1 out of 1"
"Season 9","Jamie Gregorich",24,"Sous Chef","Bradenton, FL","https://hellskitchen.fandom.com/wiki/Jamie_Gregorich",NA,"3","4","0","1","9th","9 Chefs Compete","0 out of 1"
"Season 9","Brendan Heavey",31,"Head Chef","Hoboken, NJ","https://hellskitchen.fandom.com/wiki/Brendan_Heavey",NA,"2","0","0","1","16th","16 Chefs Compete","1 out of 1"
"Season 9","Carrie Keep",31,"Pantry Chef","Dallas, TX","https://hellskitchen.fandom.com/wiki/Carrie_Keep","1 out of 4","4","4","2","4","8th","8 Chefs Compete","0 out of 1"
"Season 9","Monterray Keys",34,"Line Cook","Darby, PA","https://hellskitchen.fandom.com/wiki/Monterray_Keys",NA,"5","1","0","4","12th","12 Chefs Compete","1 out of 1"
"Season 9","Will Lustberg",31,"Sous Chef","Jersey City, NJ","https://hellskitchen.fandom.com/wiki/Will_Lustberg","1 out of 4","9","3","3","0","Runner-up",NA,"1 out of 1"
"Season 9","Gina Melcher",34,"Restaurant Consultant","Cape May, NJ","https://hellskitchen.fandom.com/wiki/Gina_Melcher",NA,"1","2","0","0","13th","13 Chefs Compete","0 out of 1"
"Season 9","Paul Niedermann",27,"Jr Sous Chef","Davie, FL","https://hellskitchen.fandom.com/wiki/Paul_Niedermann","1 out of 4","9","3","5","1","Winner",NA,"1 out of 1"
"Season 9","Jennifer Normant",34,"Chef de Cuisine","Boston, MA","https://hellskitchen.fandom.com/wiki/Jennifer_Normant","1 out of 4","5","4","4","4","5th","5 Chefs Compete Again","1 out of 1"
"Season 9","Steven Paluba",44,"Sauté Chef","Ridge, NY","https://hellskitchen.fandom.com/wiki/Steven_Paluba",NA,"1","0","0","1","17th","18 Chefs Compete","0 out of 1"
"Season 9","Krupa Patel",30,"Private Chef","Queens, NY","https://hellskitchen.fandom.com/wiki/Krupa_Patel",NA,"1","3","0","2","11th","11 Chefs Compete","0 out of 1"
"Season 9","Jonathon Plumley",34,"Head Cook","Memphis, TN","https://hellskitchen.fandom.com/wiki/Jonathon_Plumley",NA,"6","1","2","3","10th","10 Chefs Compete","0 out of 1"
"Season 9","Tommy Stevens",31,"Line Cook","Brewster, NY","https://hellskitchen.fandom.com/wiki/Tommy_Stevens","1 out of 4","7","3","0","2","4th","4 Chefs Compete","1 out of 1"
"Season 9","Elise Wims",26,"Line Cook","Pittsburgh, PA","https://hellskitchen.fandom.com/wiki/Elise_Harris","3 out of 4","5","4","1","7","3rd","4 Chefs Compete","1 out of 1"
"Season 9","Jason Zepaltas",29,"Line Cook","Chicago, IL","https://hellskitchen.fandom.com/wiki/Jason_Zepaltas",NA,"1",NA,NA,NA,"18th","18 Chefs Compete","1 out of 1"
"Season 10","Robyn Almodovar",31,"Executive Sous Chef","Hollywood, FL","https://hellskitchen.fandom.com/wiki/Robyn_Almodovar","0 out of 4","7","3","2","5","6th","6 Chefs Compete","1 out of 1"
"Season 10","Justin Antiorio",29,"Sous Chef","Lyndhurst, NJ","https://hellskitchen.fandom.com/wiki/Justin_Antiorio","4 out of 4","5","1","1","1","Runner-up",NA,"1 out of 1"
"Season 10","Chris Carrero",33,"Executive Chef","Queens, NY","https://hellskitchen.fandom.com/wiki/Chris_Carrero",NA,"0","0","0","1","17th","17 Chefs Compete","0 out of 1"
"Season 10","Clemenza Caserta",41,"Executive Chef","Long Island, NY","https://hellskitchen.fandom.com/wiki/Clemenza_Caserta","0 out of 4","6","1","3","7","5th","5 Chefs Compete","0 out of 1"
"Season 10","Patrick Cassata",40,"Executive Chef","Lombard, IL","https://hellskitchen.fandom.com/wiki/Patrick_Cassata",NA,"3","1","1","3","11th","11 Chefs Compete Part 2",NA
"Season 10","Dana Cohen",27,"Chef Instructor","River Vale, NJ","https://hellskitchen.fandom.com/wiki/Dana_Cohen","2 out of 4","8","5","2","0","3rd","2 Chefs Compete","1 out of 1"
"Season 10","Roshni Gurnani",28,"Executive Chef","Boston, MA","https://hellskitchen.fandom.com/wiki/Roshni_Gurnani",NA,"4","1","1","4","12th","12 Chefs Compete","1 out of 1"
"Season 10","Tavon Hubbard",22,"Executive Chef","Washington, DC","https://hellskitchen.fandom.com/wiki/Tavon_Hubbard",NA,"0","0","0","1","18th","18 Chefs Compete","0 out of 1"
"Season 10","Tiffany Johnson",30,"Sous Chef","Warren, VT","https://hellskitchen.fandom.com/wiki/Tiffany_Johnson","1 out of 4","5","4","0","2","9th","9 Chefs Compete Part 2","0 out of 1"
"Season 10","Barbie Marshall",34,"Catering Chef","Philadelphia, PA","https://hellskitchen.fandom.com/wiki/Barbie_Marshall","1 out of 4","7","5","1","5","4th","4 Chefs Compete","0 out of 1"
"Season 10","Brian Merel",31,"Personal Chef","Chicago, IL","https://hellskitchen.fandom.com/wiki/Brian_Merel","3 out of 4","5","1","2","3","7th","7 Chefs Compete","0 out of 1"
"Season 10","Danielle Rimmer",27,"Saucier","Bayonne, NJ","https://hellskitchen.fandom.com/wiki/Danielle_Rimmer",NA,"4","1","0","2","14th","14 Chefs Compete","0 out of 1"
